ID;Наименование;МКБ-10;Возрастная категория;Разработчик;Статус одобрения НПС;Дата размещения;Статус применения
996_1;Розовый лишай Жибера;L42;Взрослые;"Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов""";Да;24.12.2025;Применяется
175_3;Болезнь Гиршпрунга;Q43.1, Q43.8;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России""";Да;23.12.2025;Применяется
994_1;Пищевая аллергия;K52.2, L27.2, T78.1;Взрослые, дети;Российская ассоциация аллергологов и клинических иммунологов, Союз педиатров России;Да;23.12.2025;Применяется
992_1;Приобретённая патология слёзоотводящих путей;H04.3, H04.4, H04.5, H04.8;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России», Общероссийская общественная организация «Российское общество ринологов»";Да;23.12.2025;Применяется
993_1;Гидроцеле;N43.0, N43.1, N43.2, N43.3;Взрослые;"Общероссийская общественная организация ""Российское общество урологов""";Да;23.12.2025;Применяется
10_5;Рак паренхимы почки;C64, D41.0;Взрослые;"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество урологов"", Общероссийская общественная организация ""Российское общество онкоурологов"", Общероссийская общественная организация «Российское общество клинической онкологии»";Да;23.12.2025;Применяется
991_1;Лагофтальм;H02.2;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов""";Да;23.12.2025;Применяется
187_3;Ректовагинальный свищ;N82.3;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России""";Да;22.12.2025;Применяется
990_1;Сперматоцеле;D29.3, N43.4;Взрослые;"Общероссийская общественная организация ""Российское общество урологов""";Да;22.12.2025;Применяется
989_1;Воспалительные болезни шейки матки, влагалища и вульвы;N72, N76, N77.1, T19.2;Взрослые, дети;Российское общество акушеров-гинекологов;Да;22.12.2025;Применяется
37_2;Аортальный стеноз ;I06.0, I06.2, I06.8, I06.9, I08.2, I08.8, I08.9, I35.0, I35.2, I35.8, I35.9, Q23.0;Взрослые;"Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов""  , Российское научное общество специалистов по рентгенэндоваскулярной диагностике и лечению, Российское общество кардиосоматической реабилитации и вторичной профилактики (РосОКР), Национальная курортная ассоциация";Да;22.12.2025;Применяется
988_1;Мононевропатии;G54.0, G54.1, G54.2, G54.3, G54.4, G54.5, G54.8, G54.9, G56.0, G56.1, G56.2, G56.3, G56.8, G56.9, G57.0, G57.2, G57.3, G57.4, G57.6, G58.8, G58.9, G59.8;Взрослые, дети;"Ассоциация нейрохирургов России, Всероссийское общество неврологов, Общероссийская общественная организация ""Союз реабилитологов России"", Ассоциация специалистов по клинической нейрофизиологии";Да;22.12.2025;Применяется
566_2;Болезнь Лайма у взрослых;A69.2;Взрослые;Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ);Да;19.12.2025;Применяется
987_1;Врожденная патология слёзоотводящей системы  у детей;P39.1, Q10.4, Q10.5, Q10.6;Дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России»";Да;18.12.2025;Применяется
728_2;Закрытая травма груди;S20.0, S20.1, S20.2, S20.3, S20.4, S20.7, S20.8, S22.2, S22.3, S22.4, S22.5, S23.4, S25.0, S25.1, S25.2, S25.3, S25.4, S25.5, S25.7, S25.8, S25.9, S26.0, S26.8, S26.9, S27.0, S27.1, S27.2, S27.3, S27.4, S27.5, S27.6, S27.7, S27.8, S27.9, S28.0, S29.0, S29.7, S29.8, S29.9;Взрослые;"Ассоциация травматологов-ортопедов России, Общероссийская общественная организация ""Российское общество хирургов"", Ассоциация торакальных хирургов России, Межрегиональная общественная организация врачей и медицинских сестер «Сепсис Форум», Межрегиональная общественная организация «Научно-практическое общество врачей неотложной медицины»";Да;18.12.2025;Применяется
986_1;Внутриматочные синехии;N85.6, N85.8;Взрослые, дети;Российское общество акушеров-гинекологов;Да;18.12.2025;Применяется
985_1;Полип шейки матки;N84.1;Взрослые, дети;Российское общество акушеров-гинекологов;Да;18.12.2025;Применяется
983_1;Аортальная недостаточность;I06.1, I35.1, Q23.1, Q23.8, Q23.9;Взрослые;"Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов""  , Российское научное общество специалистов по рентгенэндоваскулярной диагностике и лечению, Российское общество кардиосоматической реабилитации и вторичной профилактики (РосОКР)";Да;17.12.2025;Применяется
984_1;Доброкачественные новообразования яичников;D27, N83, Q50.1, Q50.5;Взрослые, дети;Российское общество акушеров-гинекологов;Да;17.12.2025;Применяется
981_1;Несрастание перелома (псевдоартроз). Замедленное сращение перелома.;M84.0, M84.1, M84.2;Взрослые, дети;Ассоциация травматологов-ортопедов России;Да;16.12.2025;Применяется
982_1;Закрытая травма груди;S20, S22.2, S22.3, S22.4, S22.5, S23.4, S25, S26, S27, S28.0, S29;Дети;"Ассоциация травматологов-ортопедов России, Общероссийская общественная организация ""Российская ассоциация детских хирургов""";Да;16.12.2025;Применяется
165_2;Миастения;G70.0, G70.2, G70.8, G70.9;Взрослые, дети;"Всероссийское общество неврологов, Общероссийская общественная организация ""Союз реабилитологов России""";Да;15.12.2025;Применяется
614_3;Патологические переломы, осложняющие остеопороз ;M80, M80.0, M80.1, M80.2, M80.3, M80.4, M80.5, M80.8, M80.9;Взрослые;Российская ассоциация эндокринологов, Ассоциация травматологов-ортопедов России, Ассоциация ревмоортопедов;Да;15.12.2025;Применяется
256_2;Полиартроз (генерализованный остеоартрит);M15.0, M15.1, M15.2, M15.4, M15.8;Взрослые;Ассоциация ревматологов России;Да;11.12.2025;Применяется
980_1;Переломы проксимального отдела бедренной кости;S72.0, S72.1, S72.2, T93.1;Взрослые, дети;"Ассоциация травматологов-ортопедов России, Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Общероссийская общественная организация ""Федерация анестезиологов и реаниматологов"", Общероссийская общественная организация «Российская ассоциация геронтологов и гериатров»";Да;10.12.2025;Применяется
747_2;Лекарственные поражения печени (ЛПП);K71;Взрослые;"Российская Гастроэнтерологическая Ассоциация, Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Общероссийская общественная организация «Российское общество клинической онкологии», Российское общество по изучению печени, Межрегиональная Общественная Организация ""Научное сообщество по содействию клиническому изучению микробиома человека"", Российское общество профилактики неинфекционных заболеваний";Да;09.12.2025;Применяется
979_1;Бешенство (гидрофобия) у взрослых;A82;Взрослые;Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ);Да;09.12.2025;Применяется
978_1;Инфекция, специфичная для перинатального периода;P37.9, P39.8, P39.9;Дети;Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов»;Да;08.12.2025;Применяется
57_3;Острый гепатит С (ОГС) у детей;B17.1;Дети;"Международная общественная организация ""Евро-Азиатское общество по инфекционным болезням""";Да;08.12.2025;Применяется
977_1;Носовое кровотечение;R04.0;Взрослые, дети;Национальная медицинская ассоциация оториноларингологов;Да;08.12.2025;Применяется
372_3;Кистозный фиброз (муковисцидоз);E84;Взрослые, дети;"Союз педиатров России, Ассоциация медицинских генетиков, Российское респираторное общество, Российское трансплантологическое общество
, Ассоциация детских врачей Московской области";Да;05.12.2025;Применяется
976_1;Гидроцеле, сперматоцеле;N43.0, N43.1, N43.2, N43.3, N43.4, P83.5;Дети;Ассоциация специалистов детских урологов-андрологов;Да;02.12.2025;Применяется
466_3;Гемолитико-уремический синдром ;D59.3, N08.2;Дети;Союз педиатров России, Ассоциация медицинских генетиков, Творческое объединение детских нефрологов, Столичная ассоциация врачей-нефрологов;Да;02.12.2025;Применяется
975_1;Себорейный кератоз;L82;Взрослые, дети;"Союз педиатров России, Общероссийская общественная организация ""Национальный альянс дерматовенерологов и косметологов""";Да;02.12.2025;Применяется
973_1;Суправентрикулярные (наджелудочковые) тахикардии;I45.6, I47.1, I47.9, I48;Дети;"Ассоциация сердечно-сосудистых хирургов России, Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Всероссийское научное общество специалистов по клинической электрофизиологии, аритмологии и кардиостимуляции";Да;01.12.2025;Применяется
974_1;Гипертрофические изменения кожи;L91;Взрослые, дети;"Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов""";Да;01.12.2025;Применяется
972_1;Эпителиальный копчиковый ход;L05, L72.0;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация колопроктологов России"", Общероссийская общественная организация ""Российская ассоциация детских хирургов""";Да;28.11.2025;Применяется
484_2;Системная красная волчанка;M32;Взрослые;Ассоциация ревматологов России;Да;27.11.2025;Применяется
971_1;Переломы и ложные суставы костей запястья;S62, S63.0, S63.1, T92.2;Взрослые, дети;Ассоциация травматологов-ортопедов России;Да;26.11.2025;Применяется
970_1;Переломы надколенника ;S82.0;Взрослые, дети;Ассоциация травматологов-ортопедов России;Да;25.11.2025;Применяется
97_2;Регматогенная отслойка сетчатки;H33.0;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России»";Да;24.11.2025;Применяется
969_1;Осложненная катаракта;H26.0, H26.1, H26.2, H26.3, H26.8, H26.9, H27.0, H27.1, H27.8, H28.0, T85.2;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России»";Да;24.11.2025;Применяется
722_2;Недостаточный рост плода, требующий предоставления медицинской помощи матери (задержка роста плода) ;O36.5, O43, P05, P07;Взрослые, дети;Российское общество акушеров-гинекологов;Да;21.11.2025;Применяется
968_1;Лимфедема конечностей;I89, I97.2, Q82.0;Взрослые;"Ассоциация сердечно-сосудистых хирургов России, Ассоциация флебологов России, Российское общество ангиологов и сосудистых хирургов, Общероссийская общественная организация ""Российское общество хирургов"", Национальная ассоциация экспертов по санаторно-курортному лечению, «Ассоциация лимфологов России»";Да;20.11.2025;Применяется
967_1;Кровоизлияние в стекловидное тело;H43.1;Взрослые, дети;Общероссийская общественная организация «Общество офтальмологов России»;Да;19.11.2025;Применяется
966_1;Переломы пяточной кости;S92.0;Взрослые, дети;"Ассоциация травматологов-ортопедов России, Общероссийская общественная организация ""Союз реабилитологов России"", Ассоциация хирургов стопы и голеностопного сустава России (РУСФАС)";Да;19.11.2025;Применяется
212_2;Дерматит герпетиформный;L13.0;Взрослые, дети;"Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов""";Да;18.11.2025;Применяется
571_2;Артериальная гипертензия у детей;I10, I11, I12, I13, I15, P29.2;Дети;"Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Российское медицинское общество по артериальной гипертонии";Да;18.11.2025;Применяется
483_3;Нарушение обмена серосодержащих аминокислот (гомоцистинурия);E72.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков, Национальная ассоциация детских реабилитологов;Да;14.11.2025;Применяется
726_2;Нервно-мышечный сколиоз;M41.4;Взрослые, дети;"Ассоциация травматологов-ортопедов России, Общероссийская общественная организация ""Союз реабилитологов России"", Российская ассоциация хирургов-вертебрологов";Да;14.11.2025;Применяется
965_1;Лихорадка Западного Нила;A92.3;Взрослые;Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ);Да;13.11.2025;Применяется
